event_date,month,year,day,date_description,name,city,country,kind,latitude,longitude,part_of_the_world
,9,2016,**,Sep-16,Luanda Half Marathon (Meia Maratona Internacional Cidade de Luanda),Luanda,Angola,H/R,-8.839987,13.289436,
12 Sep 2016,9,2016,12,Sep-16,Volksbank-Muenster-Marathon,Muenster,Germany,M,51.960664,7.626134,
,9,2016,**,Sep-16,10K San Jose Int'l - Costa Rica,San Jose,Costa Rica,R,9.928069,-84.090724,
13 Sep 2016,9,2016,13,Sep-16,Running Festival of the Economic Forum (Festiwal Biegowy Forum Ekonomicznego),Krynica,Poland,M/R/U,49.421515,20.95942,
,9,2016,**,Sep-16,Golden Ring Yaroslavl Half-Marathon,Yaroslavl,Russia,H/R,57.626074,39.88447,
9 Sep 2016,9,2016,9,Sep-16,Jungfrau Marathon,Interlaken,Switzerland,M/R,46.686348,7.863204,
,9,2016,**,Sep-16,Maraton de las Flores Medellin,Medellin,Colombia,M/H/R,6.25304,-75.564573,
18 Sep 2016,9,2016,18,Sep-16,PKO Wroclaw Marathon,Wroclaw,Poland,M,51.107885,17.038537,
,9,2016,**,Sep-16,Maraton De Quito,Quito,Ecuador,M,-0.180653,-78.467838,
,9,2016,**,Sep-16,Moscow Marathon,Moscow,Russia,M,55.755826,37.6173,
,9,2016,**,Sep-16,Siberian International Marathon,Omsk,Russia,M,54.98848,73.324236,
,9,2016,**,Sep-16,Carrera de La Mujer Colombia 10km,Bogota,Colombia,R,4.710988,-74.072092,
,9,2016,**,Sep-16,Sanlam Cape Town Marathon,Cape Town,South Africa,M/H/R,-33.924868,18.424055,
,9,2016,**,Sep-16,Yangmingshan Cross Country Race,Taipei,Taiwan,M/H/R,25.032969,121.565417,
,9,2016,**,Sep-16,Beijing Hyundai Beijing Marathon,Beijing,China,M,39.904211,116.407394,
25 Sep 2016,9,2016,25,Sep-16,ING Route du Vin Half Marathon,Remich,Luxembourg,H,49.545016,6.367422,
27 Sep 2016,9,2016,27,Sep-16,38th PZU Warsaw Marathon,Warsaw,Poland,M/R,52.229675,21.012228,
25 Sep 2016,9,2016,25,Sep-16,BMW Berlin Marathon,Berlin,Germany,M,52.520006,13.404953,
2 Oct 2016,10,2016,2,Oct-16,Baxters Loch Ness Marathon & Festival of Running,Fort Augustus,Scotland,M/R,57.144806,-4.680516,
2 Oct 2016,10,2016,2,Oct-16,Incheon Songdo International Marathon,Incheon,South Korea,M,37.456255,126.705206,
